run_token,family,arm,dataset,horizon,seed,window,ablation,use_adj,sim_mat,target_space,quantiles,n_quantiles,attn_exp,renewal,renewal_lag,gi_fix,level_cap,model_column,n_test,rmse_npz,rmse_csv,has_val,has_quantiles,git_commit,mode,best_epoch,n_params,timestamp,npz_path,ckpt_path,manifest_path,consistency
CNNRNN_Res.australia-covid.w-20.h-3.none.seed-45,CNNRNN_Res,current,australia-covid,3,45,20,none,,,,,,,,,,,CNNRNN_Res,112,85.175529,,False,False,,,,,,report/predictions/australia-covid/CNNRNN_Res.australia-covid.w-20.h-3.none.seed-45.npz,,,ok
CNNRNN_Res.australia-covid.w-20.h-7.none.seed-1000,CNNRNN_Res,current,australia-covid,7,1000,20,none,,,,,,,,,,,CNNRNN_Res,112,182.659256,,False,False,,,,,,report/predictions/australia-covid/CNNRNN_Res.australia-covid.w-20.h-7.none.seed-1000.npz,,,ok
CNNRNN_Res.australia-covid.w-20.h-7.none.seed-123,CNNRNN_Res,current,australia-covid,7,123,20,none,,,,,,,,,,,CNNRNN_Res,112,222.785294,,False,False,,,,,,report/predictions/australia-covid/CNNRNN_Res.australia-covid.w-20.h-7.none.seed-123.npz,,,ok
CNNRNN_Res.australia-covid.w-20.h-7.none.seed-30,CNNRNN_Res,current,australia-covid,7,30,20,none,,,,,,,,,,,CNNRNN_Res,112,282.891022,,False,False,,,,,,report/predictions/australia-covid/CNNRNN_Res.australia-covid.w-20.h-7.none.seed-30.npz,,,ok
CNNRNN_Res.australia-covid.w-20.h-7.none.seed-42,CNNRNN_Res,current,australia-covid,7,42,20,none,,,,,,,,,,,CNNRNN_Res,112,322.74707,,False,False,,,,,,report/predictions/australia-covid/CNNRNN_Res.australia-covid.w-20.h-7.none.seed-42.npz,,,ok
CNNRNN_Res.australia-covid.w-20.h-7.none.seed-42.oldckpt,CNNRNN_Res,oldckpt,australia-covid,7,42,20,none,,,,,,,,,,,CNNRNN_Res,106,232.396027,,False,False,,,,,,report/predictions/australia-covid/CNNRNN_Res.australia-covid.w-20.h-7.none.seed-42.oldckpt.npz,,,ok
CNNRNN_Res.australia-covid.w-20.h-7.none.seed-45,CNNRNN_Res,current,australia-covid,7,45,20,none,,,,,,,,,,,CNNRNN_Res,112,199.899994,,False,False,,,,,,report/predictions/australia-covid/CNNRNN_Res.australia-covid.w-20.h-7.none.seed-45.npz,,,ok
MSAGAT-Net.australia-covid.w-20.h-14.none.seed-1000.with_adj.loggrowth.quant.exp-nodecay-regpre,MSAGAT-Net,current,australia-covid,14,1000,20,none,True,default,loggrowth,True,,nodecay-regpre,False,,,,MSAGAT-Net.loggrowth.quant.exp-nodecay-regpre,112,241.479779,241.479779,True,True,,,,,20260819_081934,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-1000.with_adj.loggrowth.quant.exp-nodecay-regpre.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-1000.with_adj.loggrowth.quant.exp-nodecay-regpre.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-14.none.seed-1000.with_adj.loggrowth.quant,MSAGAT-Net,current,australia-covid,14,1000,20,none,True,default,loggrowth,True,,,False,,,,MSAGAT-Net.loggrowth.quant,112,256.408165,256.408165,True,True,,,,,20260814_031326,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-1000.with_adj.loggrowth.quant.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-1000.with_adj.loggrowth.quant.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-14.none.seed-1000.with_adj,MSAGAT-Net,current,australia-covid,14,1000,20,none,True,default,level,False,,,False,,,,MSAGAT-Net,112,638.439453,638.439455,True,False,,,,,20260811_091734,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-1000.with_adj.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-1000.with_adj.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-14.none.seed-123.with_adj.loggrowth.quant.exp-nodecay-regpre,MSAGAT-Net,current,australia-covid,14,123,20,none,True,default,loggrowth,True,,nodecay-regpre,False,,,,MSAGAT-Net.loggrowth.quant.exp-nodecay-regpre,112,535.630077,535.630077,True,True,,,,,20260819_081855,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-123.with_adj.loggrowth.quant.exp-nodecay-regpre.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-123.with_adj.loggrowth.quant.exp-nodecay-regpre.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-14.none.seed-123.with_adj.loggrowth.quant,MSAGAT-Net,current,australia-covid,14,123,20,none,True,default,loggrowth,True,,,False,,,,MSAGAT-Net.loggrowth.quant,112,571.015853,571.015853,True,True,,,,,20260814_031337,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-123.with_adj.loggrowth.quant.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-123.with_adj.loggrowth.quant.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-14.none.seed-123.with_adj,MSAGAT-Net,current,australia-covid,14,123,20,none,True,default,level,False,,,False,,,,MSAGAT-Net,112,654.13385,654.13385,True,False,,,,,20260811_091722,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-123.with_adj.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-123.with_adj.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-14.none.seed-30.with_adj.loggrowth,MSAGAT-Net,current,australia-covid,14,30,20,none,True,default,loggrowth,False,,,False,,,,MSAGAT-Net.loggrowth,112,633.804688,633.804707,True,False,,,,,20260811_050732,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-30.with_adj.loggrowth.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-30.with_adj.loggrowth.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-14.none.seed-30.with_adj.loggrowth.quant.exp-nodecay-regpre,MSAGAT-Net,current,australia-covid,14,30,20,none,True,default,loggrowth,True,,nodecay-regpre,False,,,,MSAGAT-Net.loggrowth.quant.exp-nodecay-regpre,112,541.208246,541.208246,True,True,,,,,20260819_081741,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-30.with_adj.loggrowth.quant.exp-nodecay-regpre.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-30.with_adj.loggrowth.quant.exp-nodecay-regpre.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-14.none.seed-30.with_adj.loggrowth.quant,MSAGAT-Net,current,australia-covid,14,30,20,none,True,default,loggrowth,True,,,False,,,,MSAGAT-Net.loggrowth.quant,112,610.500947,610.500947,True,True,,,,,20260814_031348,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-30.with_adj.loggrowth.quant.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-30.with_adj.loggrowth.quant.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-14.none.seed-30.with_adj,MSAGAT-Net,current,australia-covid,14,30,20,none,True,default,level,False,,,False,,,,MSAGAT-Net,112,644.376282,644.376297,True,False,,,,,20260811_091700,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-30.with_adj.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-30.with_adj.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-14.none.seed-42.with_adj.loggrowth,MSAGAT-Net,current,australia-covid,14,42,20,none,True,default,loggrowth,False,,,False,,,,MSAGAT-Net.loggrowth,112,705.701111,705.701114,True,False,,,,,20260811_050647,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-42.with_adj.loggrowth.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-42.with_adj.loggrowth.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-14.none.seed-42.with_adj.loggrowth.quant.exp-nodecay-regpre,MSAGAT-Net,current,australia-covid,14,42,20,none,True,default,loggrowth,True,,nodecay-regpre,False,,,,MSAGAT-Net.loggrowth.quant.exp-nodecay-regpre,112,485.992468,485.992468,True,True,,,,,20260819_081712,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-42.with_adj.loggrowth.quant.exp-nodecay-regpre.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-42.with_adj.loggrowth.quant.exp-nodecay-regpre.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-14.none.seed-42.with_adj.loggrowth.quant,MSAGAT-Net,current,australia-covid,14,42,20,none,True,default,loggrowth,True,,,False,,,,MSAGAT-Net.loggrowth.quant,112,581.424882,581.424882,True,True,,,,,20260814_031400,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-42.with_adj.loggrowth.quant.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-42.with_adj.loggrowth.quant.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-14.none.seed-42.with_adj,MSAGAT-Net,current,australia-covid,14,42,20,none,True,default,level,False,,,False,,,,MSAGAT-Net,112,649.525574,649.525596,True,False,,,,,20260811_091648,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-42.with_adj.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-42.with_adj.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-14.none.seed-45.with_adj.loggrowth,MSAGAT-Net,current,australia-covid,14,45,20,none,True,default,loggrowth,False,,,False,,,,MSAGAT-Net.loggrowth,112,643.012268,643.012271,True,False,,,,,20260811_050814,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-45.with_adj.loggrowth.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-45.with_adj.loggrowth.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-14.none.seed-45.with_adj.loggrowth.quant.exp-nodecay-regpre,MSAGAT-Net,current,australia-covid,14,45,20,none,True,default,loggrowth,True,,nodecay-regpre,False,,,,MSAGAT-Net.loggrowth.quant.exp-nodecay-regpre,112,370.874076,370.874076,True,True,,,,,20260819_081828,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-45.with_adj.loggrowth.quant.exp-nodecay-regpre.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-45.with_adj.loggrowth.quant.exp-nodecay-regpre.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-14.none.seed-45.with_adj.loggrowth.quant,MSAGAT-Net,current,australia-covid,14,45,20,none,True,default,loggrowth,True,,,False,,,,MSAGAT-Net.loggrowth.quant,112,308.041564,308.041564,True,True,,,,,20260814_031410,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-45.with_adj.loggrowth.quant.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-45.with_adj.loggrowth.quant.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-14.none.seed-45.with_adj,MSAGAT-Net,current,australia-covid,14,45,20,none,True,default,level,False,,,False,,,,MSAGAT-Net,112,651.608826,651.608826,True,False,,,,,20260811_091711,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-45.with_adj.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-14.none.seed-45.with_adj.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-3.none.seed-1000.with_adj.loggrowth.quant.attnfix,MSAGAT-Net,current,australia-covid,3,1000,20,none,True,default,loggrowth,True,,,False,,,,MSAGAT-Net.loggrowth.quant.attnfix,112,62.245402,62.245402,True,True,,,,,20260819_014937,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-1000.with_adj.loggrowth.quant.attnfix.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-1000.with_adj.loggrowth.quant.attnfix.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-3.none.seed-1000.with_adj.loggrowth.quant.exp-nodecay-regpre,MSAGAT-Net,current,australia-covid,3,1000,20,none,True,default,loggrowth,True,,nodecay-regpre,False,,,,MSAGAT-Net.loggrowth.quant.exp-nodecay-regpre,112,178.371364,178.371364,True,True,,,,,20260819_081303,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-1000.with_adj.loggrowth.quant.exp-nodecay-regpre.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-1000.with_adj.loggrowth.quant.exp-nodecay-regpre.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-3.none.seed-1000.with_adj.loggrowth.quant,MSAGAT-Net,current,australia-covid,3,1000,20,none,True,default,loggrowth,True,,,False,,,,MSAGAT-Net.loggrowth.quant,112,457.1322,457.1322,True,True,,,,,20260814_031421,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-1000.with_adj.loggrowth.quant.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-1000.with_adj.loggrowth.quant.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-3.none.seed-1000.with_adj,MSAGAT-Net,current,australia-covid,3,1000,20,none,True,default,level,False,,,False,,,,MSAGAT-Net,112,212.426239,212.426246,True,False,,,,,20260811_091541,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-1000.with_adj.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-1000.with_adj.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-3.none.seed-123.with_adj.loggrowth.quant.attnfix,MSAGAT-Net,current,australia-covid,3,123,20,none,True,default,loggrowth,True,,,False,,,,MSAGAT-Net.loggrowth.quant.attnfix,112,62.563411,62.563411,True,True,,,,,20260819_014856,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-123.with_adj.loggrowth.quant.attnfix.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-123.with_adj.loggrowth.quant.attnfix.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-3.none.seed-123.with_adj.loggrowth.quant.exp-nodecay-regpre,MSAGAT-Net,current,australia-covid,3,123,20,none,True,default,loggrowth,True,,nodecay-regpre,False,,,,MSAGAT-Net.loggrowth.quant.exp-nodecay-regpre,112,188.542758,188.542758,True,True,,,,,20260819_081205,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-123.with_adj.loggrowth.quant.exp-nodecay-regpre.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-123.with_adj.loggrowth.quant.exp-nodecay-regpre.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-3.none.seed-123.with_adj.loggrowth.quant,MSAGAT-Net,current,australia-covid,3,123,20,none,True,default,loggrowth,True,,,False,,,,MSAGAT-Net.loggrowth.quant,112,71.455138,71.455138,True,True,,,,,20260814_031432,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-123.with_adj.loggrowth.quant.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-123.with_adj.loggrowth.quant.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-3.none.seed-123.with_adj,MSAGAT-Net,current,australia-covid,3,123,20,none,True,default,level,False,,,False,,,,MSAGAT-Net,112,194.063782,194.063778,True,False,,,,,20260811_091530,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-123.with_adj.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-123.with_adj.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-3.none.seed-30.with_adj.loggrowth.quant.attnfix,MSAGAT-Net,current,australia-covid,3,30,20,none,True,default,loggrowth,True,,,False,,,,MSAGAT-Net.loggrowth.quant.attnfix,112,306.409949,306.409949,True,True,,,,,20260819_014722,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-30.with_adj.loggrowth.quant.attnfix.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-30.with_adj.loggrowth.quant.attnfix.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-3.none.seed-30.with_adj.loggrowth.quant.exp-nodecay-regpre,MSAGAT-Net,current,australia-covid,3,30,20,none,True,default,loggrowth,True,,nodecay-regpre,False,,,,MSAGAT-Net.loggrowth.quant.exp-nodecay-regpre,112,546.567776,546.567776,True,True,,,,,20260819_081044,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-30.with_adj.loggrowth.quant.exp-nodecay-regpre.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-30.with_adj.loggrowth.quant.exp-nodecay-regpre.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-3.none.seed-30.with_adj.loggrowth.quant,MSAGAT-Net,current,australia-covid,3,30,20,none,True,default,loggrowth,True,,,False,,,,MSAGAT-Net.loggrowth.quant,112,30.868449,30.868449,True,True,,,,,20260814_031442,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-30.with_adj.loggrowth.quant.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-30.with_adj.loggrowth.quant.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-3.none.seed-30.with_adj,MSAGAT-Net,current,australia-covid,3,30,20,none,True,default,level,False,,,False,,,,MSAGAT-Net,112,247.878769,247.878766,True,False,,,,,20260811_091508,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-30.with_adj.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-30.with_adj.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-3.none.seed-42.with_adj.loggrowth.quant.attnfix,MSAGAT-Net,current,australia-covid,3,42,20,none,True,default,loggrowth,True,,,False,,,,MSAGAT-Net.loggrowth.quant.attnfix,112,101.89621,101.89621,True,True,,,,,20260819_014642,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-42.with_adj.loggrowth.quant.attnfix.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-42.with_adj.loggrowth.quant.attnfix.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-3.none.seed-42.with_adj.loggrowth.quant.exp-nodecay-regpre,MSAGAT-Net,current,australia-covid,3,42,20,none,True,default,loggrowth,True,,nodecay-regpre,False,,,,MSAGAT-Net.loggrowth.quant.exp-nodecay-regpre,112,92.797847,92.797847,True,True,,,,,20260819_081013,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-42.with_adj.loggrowth.quant.exp-nodecay-regpre.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-42.with_adj.loggrowth.quant.exp-nodecay-regpre.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-3.none.seed-42.with_adj.loggrowth.quant,MSAGAT-Net,current,australia-covid,3,42,20,none,True,default,loggrowth,True,,,False,,,,MSAGAT-Net.loggrowth.quant,112,203.352272,203.352272,True,True,,,,,20260814_031452,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-42.with_adj.loggrowth.quant.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-42.with_adj.loggrowth.quant.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-3.none.seed-42.with_adj,MSAGAT-Net,current,australia-covid,3,42,20,none,True,default,level,False,,,False,,,,MSAGAT-Net,112,225.987396,225.987399,True,False,,,,,20260811_091457,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-42.with_adj.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-42.with_adj.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-3.none.seed-45.with_adj.loggrowth.quant.attnfix,MSAGAT-Net,current,australia-covid,3,45,20,none,True,default,loggrowth,True,,,False,,,,MSAGAT-Net.loggrowth.quant.attnfix,112,128.909294,128.909294,True,True,,,,,20260819_014812,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-45.with_adj.loggrowth.quant.attnfix.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-45.with_adj.loggrowth.quant.attnfix.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-3.none.seed-45.with_adj.loggrowth.quant.exp-nodecay-regpre,MSAGAT-Net,current,australia-covid,3,45,20,none,True,default,loggrowth,True,,nodecay-regpre,False,,,,MSAGAT-Net.loggrowth.quant.exp-nodecay-regpre,112,97.329359,97.329359,True,True,,,,,20260819_081123,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-45.with_adj.loggrowth.quant.exp-nodecay-regpre.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-45.with_adj.loggrowth.quant.exp-nodecay-regpre.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-3.none.seed-45.with_adj.loggrowth.quant,MSAGAT-Net,current,australia-covid,3,45,20,none,True,default,loggrowth,True,,,False,,,,MSAGAT-Net.loggrowth.quant,112,107.792539,107.792539,True,True,,,,,20260814_031503,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-45.with_adj.loggrowth.quant.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-45.with_adj.loggrowth.quant.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-3.none.seed-45.with_adj,MSAGAT-Net,current,australia-covid,3,45,20,none,True,default,level,False,,,False,,,,MSAGAT-Net,112,155.414032,155.414032,True,False,,,,,20260811_091519,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-45.with_adj.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-3.none.seed-45.with_adj.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-7.none.seed-1000.with_adj.loggrowth.quant.exp-nodecay-regpre,MSAGAT-Net,current,australia-covid,7,1000,20,none,True,default,loggrowth,True,,nodecay-regpre,False,,,,MSAGAT-Net.loggrowth.quant.exp-nodecay-regpre,112,505.930784,505.930784,True,True,,,,,20260819_081556,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-7.none.seed-1000.with_adj.loggrowth.quant.exp-nodecay-regpre.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-7.none.seed-1000.with_adj.loggrowth.quant.exp-nodecay-regpre.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-7.none.seed-1000.with_adj.loggrowth.quant,MSAGAT-Net,current,australia-covid,7,1000,20,none,True,default,loggrowth,True,,,False,,,,MSAGAT-Net.loggrowth.quant,112,521.019857,521.019857,True,True,,,,,20260814_031513,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-7.none.seed-1000.with_adj.loggrowth.quant.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-7.none.seed-1000.with_adj.loggrowth.quant.pt,,manifest_missing
MSAGAT-Net.australia-covid.w-20.h-7.none.seed-1000.with_adj,MSAGAT-Net,current,australia-covid,7,1000,20,none,True,default,level,False,,,False,,,,MSAGAT-Net,112,444.143219,444.143224,True,False,,,,,20260811_091637,report/predictions/australia-covid/MSAGAT-Net.australia-covid.w-20.h-7.none.seed-1000.with_adj.npz,save_all/MSAGAT-Net.australia-covid.w-20.h-7.none.seed-1000.with_adj.pt,,manifest_missing
