stamp,kind,exp,mean_val_rmse,nhs_timeseries.h3,nhs_timeseries.h7,nhs_timeseries.h14,japan.h3,japan.h5,ent_mean,ent_min,uv_share,alpha_first,alpha_mean_lag,alpha_entropy,gate_pass,note
20260819_073347,config,"nodecay,regpre,rank16",283.0158,2.7035,8.9556,19.5733,657.3652,726.4815,0.9152,0.0888,0.6633,,,,True,"exp-9: direction 6, graph-bias rank 8->16 [DISCARDED: +17.1%; rank sweep symmetric, direction 6 closed]"
20260819_073909,config,"nodecay,regpre,adjstd,lrx10",269.1508,2.6952,7.2679,17.0222,624.653,694.1158,0.688,0.0635,0.8482,,,,True,exp-10: combination of the two individually-best non-kept changes [DISCARDED: complementarity did not compose]
20260819_074544,config,"nodecay,regent",228.7447,3.0251,7.4775,17.288,504.6693,611.2634,0.7417,0.001,0.8826,,,,True,"exp-11: DIRECTION 10 (MARKED) - explicit row-entropy penalty [DISCARDED: raw mean looked better than exp-1 but loses 3/5 per-cell, +2.8%]"
20260819_111242,config,"nodecay,regpre + renewal lag14 tau>=1",321.0194,3.1916,8.1834,18.3244,718.4181,856.9795,0.5523,0.0006,0.94,0.2508,4.869,0.8689,True,"R1: renewal decoder, single conv, kernel tau=1..14 [0/5 vs exp-1, +23.4%]"
20260819_111712,config,"nodecay,regpre,renewal_lag0 + renewal lag14 tau>=0",269.887,2.905,8.1834,18.2018,631.7703,688.3748,0.5647,0.003,0.948,0.2877,3.568,0.8165,True,"R2 ABLATION: mass allowed at tau=0 [0/5 vs exp-1, +12.5% - best renewal variant; the guarded-against collapse never occurred]"
20260819_112704,config,"nodecay,regpre + renewal lag7 tau>=1",270.7027,3.2603,7.9377,18.2886,595.3961,728.631,0.5486,0.0027,0.9555,0.4059,2.631,0.8252,True,"R3: direction 1, lag 7 [0/5 vs exp-1, +14.3%]"
20260819_113717,config,"nodecay,regpre + renewal lag21 tau>=1",382.3446,3.2455,8.4467,18.5221,790.9422,1090.5665,0.539,0.0,0.9362,0.3735,5.516,0.7354,True,"R4: direction 1, lag 21 [0/5 vs exp-1, +35.0%; lag sweep monotone - shorter kernel = less damage]"
20260819_114943,config,"nodecay,regpre,renewres,renewal_lag0 + renewal lag7",280.8492,2.9313,8.1922,17.7314,575.8888,799.5022,0.7424,0.0988,0.8446,0.2426,2.224,0.9428,True,"R5: direction 2 residual gamma on best renewal config [0/5 vs exp-1, +13.4%; learned gamma ~0 at h=3]"
20260819_115735,config,"nodecay,regpre,renewres + renewal lag7 tau>=1",286.5528,2.8941,8.0199,19.6463,577.0745,825.1294,0.7246,0.0013,0.8725,0.2277,3.352,0.9536,True,"R6: direction 2 residual gamma, tau>=1 [0/5 vs exp-1, +15.9%]"
20260820_040012,config,"nodecay,regpre,reniter + renewal lag7",327.1612,3.0087,8.1463,17.9496,703.1453,903.5563,0.5026,0.0077,0.968,,,,True,"I1: ITERATED renewal lag7 - rolls the equation forward h steps [0/5 vs exp-1, +22.4%; kernel now a genuine delay distribution]"
20260820_040055,config,"nodecay,regpre,reniter + renewal lag14",345.85,2.9187,7.8091,19.8313,644.3659,1054.3251,0.4716,0.0055,0.9559,0.1504,5.466,0.7353,True,"I2: iterated renewal lag14 [0/5 vs exp-1, +25.6%]"
20260820_041126,config,"nodecay,regpre,reniter,renewres + renewal lag7",320.1477,2.9156,8.483,17.0233,716.5523,855.7641,0.5563,0.0143,0.9496,,,,True,"I3: iterated + residual gamma [0/5 vs exp-1, +20.6%; gamma at h=3 recovered 0.00->0.199, confirming the stale-kernel diagnosis at short horizons]"
20260820_091733,config,"nodecay,regpre,reniter,giunif + renewal lag7",327.1157,2.9021,10.1671,19.6844,692.4795,910.3454,0.4633,0.0192,0.97,,,,True,G1: kernel FROZEN UNIFORM - no generation-interval shape (control arm)
20260820_102134,config,"nodecay,regpre,reniter + renewal lag7 + gifix5.2-1.72",252.0793,3.1093,10.1426,20.3513,540.1229,686.6705,0.4665,0.0006,0.9566,,,,True,"G2: kernel FROZEN to the literature COVID generation interval, gamma(5.2, 1.72), Ferretti et al. 2020"
